dates,indx
01/03/2023,288.97186
01/04/2023,290.0649
01/05/2023,289.605
01/06/2023,290.04822
01/07/2023,291.72806
01/08/2023,293.59723
01/09/2023,294.834
01/10/2023,296.525
01/11/2023,296.03568
01/12/2023,295.6795
01/01/2024,295.7576
01/02/2024,296.1601
01/03/2024,297.03372
01/04/2024,297.8094
01/05/2024,297.91846
01/06/2024,298.4187
01/07/2024,300.91455
01/08/2024,300.93845
01/09/2024,300.05875
01/10/2024,301.1046
01/11/2024,300.6641
01/12/2024,301.11075
01/01/2025,302.77115
01/02/2025,302.06668
01/03/2025,302.34143
01/04/2025,302.91577
01/05/2025,303.6043
01/06/2025,304.32364
01/07/2025,305.13733
01/08/2025,305.03033
01/09/2025,304.7869
